,saved_model,model,loss,accuracy,gauss_blur
130,ResNet50v2_(2023-03-25)_0,ResNet50v2,18.39960479736328,0.0,33
131,ResNet50v2_(2023-03-25)_0,ResNet50v2,18.51611957550049,0.0,35
132,ResNet50v2_(2023-03-25)_0,ResNet50v2,18.51184139251709,0.0,37
133,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.0524368286132812,0.782608687877655,1
134,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.1262964248657226,0.782608687877655,3
135,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.4038826704025267,0.7681159377098083,5
136,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.947107696533203,0.7318840622901917,7
137,ResNet50v2_(2023-04-09)_0,ResNet50v2,3.529200053215027,0.6739130616188049,9
138,ResNet50v2_(2023-04-09)_0,ResNet50v2,4.3863873958587645,0.6159420013427734,11
139,ResNet50v2_(2023-04-09)_0,ResNet50v2,5.483277750015259,0.5,13
140,ResNet50v2_(2023-04-09)_0,ResNet50v2,6.926267766952515,0.3913043439388275,15
141,ResNet50v2_(2023-04-09)_0,ResNet50v2,8.725327205657958,0.28985506296157837,17
142,ResNet50v2_(2023-04-09)_0,ResNet50v2,10.470398807525635,0.21739129722118378,19
143,ResNet50v2_(2023-04-09)_0,ResNet50v2,11.93356637954712,0.17391304671764374,21
144,ResNet50v2_(2023-04-09)_0,ResNet50v2,13.175492191314698,0.12318840622901917,23
145,ResNet50v2_(2023-04-09)_0,ResNet50v2,14.204155349731446,0.06521739065647125,25
146,ResNet50v2_(2023-04-09)_0,ResNet50v2,14.995327377319336,0.043478261679410934,27
147,ResNet50v2_(2023-04-09)_0,ResNet50v2,15.57771339416504,0.036231882870197296,29
