,saved_model,model,loss,accuracy,guass_noise
92,MobileNet_(2023-04-09)_0,MobileNet,30.478568458557127,0.0,2.782559402207126
93,MobileNet_(2023-04-09)_0,MobileNet,30.761162567138673,0.0,5.27499706370262
94,MobileNet_(2023-04-09)_0,MobileNet,30.80587387084961,0.0,10.0
95,MobileNet_(2023-04-09)_1,MobileNet,0.5131284296512604,0.9050724864006042,0.0001
96,MobileNet_(2023-04-09)_1,MobileNet,0.5194325506687164,0.9021739363670349,0.00018957356524063754
97,MobileNet_(2023-04-09)_1,MobileNet,0.5255555391311646,0.9050724864006042,0.00035938136638046257
98,MobileNet_(2023-04-09)_1,MobileNet,0.5419192790985108,0.9036232113838196,0.0006812920690579615
99,MobileNet_(2023-04-09)_1,MobileNet,0.5577033042907715,0.8942029237747192,0.001291549665014884
100,MobileNet_(2023-04-09)_1,MobileNet,0.5867213010787964,0.8833333373069763,0.002448436746822227
101,MobileNet_(2023-04-09)_1,MobileNet,0.7121147513389587,0.8536231696605683,0.004641588833612782
102,MobileNet_(2023-04-09)_1,MobileNet,0.9694347143173218,0.804347813129425,0.008799225435691074
103,MobileNet_(2023-04-09)_1,MobileNet,1.6066002607345582,0.7333333373069764,0.016681005372000592
104,MobileNet_(2023-04-09)_1,MobileNet,2.6694449186325073,0.617391300201416,0.03162277660168379
105,MobileNet_(2023-04-09)_1,MobileNet,6.052686309814453,0.27898550033569336,0.05994842503189409
106,MobileNet_(2023-04-09)_1,MobileNet,14.254055213928222,0.051449275389313695,0.11364636663857254
107,MobileNet_(2023-04-09)_1,MobileNet,24.33989715576172,0.0,0.21544346900318845
108,MobileNet_(2023-04-09)_1,MobileNet,31.837759017944336,0.0,0.40842386526745217
109,MobileNet_(2023-04-09)_1,MobileNet,35.36762161254883,0.0,0.7742636826811278
110,MobileNet_(2023-04-09)_1,MobileNet,36.83388977050781,0.0,1.4677992676220706
111,MobileNet_(2023-04-09)_1,MobileNet,37.4557430267334,0.0,2.782559402207126
112,MobileNet_(2023-04-09)_1,MobileNet,37.958197021484374,0.0,5.27499706370262
113,MobileNet_(2023-04-09)_1,MobileNet,38.17081565856934,0.0,10.0
114,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.7912004113197326,0.760869562625885,0.0001
115,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.8021711945533752,0.7579710125923157,0.00018957356524063754
116,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.8030986070632935,0.752173912525177,0.00035938136638046257
117,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.8099411010742188,0.7528985500335693,0.0006812920690579615
118,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.829160451889038,0.7384057998657226,0.001291549665014884
119,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.8271687626838684,0.7405797123908997,0.002448436746822227
120,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.8297178506851197,0.7355072498321533,0.004641588833612782
121,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.8557633757591248,0.7231884121894836,0.008799225435691074
122,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.9942747116088868,0.7007246494293213,0.016681005372000592
123,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.461608052253723,0.6246376752853393,0.03162277660168379
124,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.929147744178772,0.480434787273407,0.05994842503189409
125,ResNet50v2_(2023-03-25)_0,ResNet50v2,6.575510501861572,0.27028985023498536,0.11364636663857254
126,ResNet50v2_(2023-03-25)_0,ResNet50v2,10.882419013977051,0.07536232024431229,0.21544346900318845
127,ResNet50v2_(2023-03-25)_0,ResNet50v2,15.94834852218628,0.001449275389313698,0.40842386526745217
128,ResNet50v2_(2023-03-25)_0,ResNet50v2,19.2718017578125,0.0,0.7742636826811278
129,ResNet50v2_(2023-03-25)_0,ResNet50v2,21.165718269348144,0.0,1.4677992676220706
130,ResNet50v2_(2023-03-25)_0,ResNet50v2,22.46766471862793,0.0,2.782559402207126
131,ResNet50v2_(2023-03-25)_0,ResNet50v2,23.52852592468262,0.0,5.27499706370262
132,ResNet50v2_(2023-03-25)_0,ResNet50v2,24.363397979736327,0.0,10.0
133,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.043470859527588,0.782608687877655,0.0001
134,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.034909200668335,0.7833333253860474,0.00018957356524063754
135,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.025462102890015,0.7862318754196167,0.00035938136638046257
136,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.010118854045868,0.7818840503692627,0.0006812920690579615
137,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.0063297629356383,0.7862318754196167,0.001291549665014884
138,ResNet50v2_(2023-04-09)_0,ResNet50v2,1.9708855628967286,0.784782600402832,0.002448436746822227
139,ResNet50v2_(2023-04-09)_0,ResNet50v2,1.963090968132019,0.789130425453186,0.004641588833612782
140,ResNet50v2_(2023-04-09)_0,ResNet50v2,1.9723857522010804,0.7840579628944397,0.008799225435691074
141,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.084547448158264,0.763043475151062,0.016681005372000592
142,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.2915918111801146,0.7289855122566223,0.03162277660168379
143,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.830493950843811,0.6543478488922119,0.05994842503189409
144,ResNet50v2_(2023-04-09)_0,ResNet50v2,4.062351036071777,0.45072464644908905,0.11364636663857254
145,ResNet50v2_(2023-04-09)_0,ResNet50v2,6.105713558197022,0.1405797079205513,0.21544346900318845
146,ResNet50v2_(2023-04-09)_0,ResNet50v2,8.777734756469727,0.000724637694656849,0.40842386526745217
147,ResNet50v2_(2023-04-09)_0,ResNet50v2,10.073089408874512,0.0,0.7742636826811278
148,ResNet50v2_(2023-04-09)_0,ResNet50v2,10.918141078948974,0.0021739130839705466,1.4677992676220706
149,ResNet50v2_(2023-04-09)_0,ResNet50v2,11.650386333465576,0.007971014641225339,2.782559402207126
150,ResNet50v2_(2023-04-09)_0,ResNet50v2,12.317419147491455,0.036956521682441235,5.27499706370262
151,ResNet50v2_(2023-04-09)_0,ResNet50v2,12.862122058868408,0.05942028984427452,10.0
152,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.218557667732239,0.7818840503692627,0.0001
153,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.213115096092224,0.7789855003356934,0.00018957356524063754
154,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.212975811958313,0.7775362253189086,0.00035938136638046257
155,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.2244463205337524,0.7746376752853393,0.0006812920690579615
156,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.2273862838745115,0.7659420251846314,0.001291549665014884
157,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.2575757026672365,0.7637681126594543,0.002448436746822227
158,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.3331642150878906,0.7666666626930236,0.004641588833612782
159,ResNet50v2_(2023-04-10)_0,ResNet50v2,2.5981355905532837,0.7463768124580383,0.008799225435691074
160,ResNet50v2_(2023-04-10)_0,ResNet50v2,3.0295857191085815,0.7115942120552063,0.016681005372000592
161,ResNet50v2_(2023-04-10)_0,ResNet50v2,3.655722665786743,0.6543478488922119,0.03162277660168379
162,ResNet50v2_(2023-04-10)_0,ResNet50v2,5.061378717422485,0.5550724506378174,0.05994842503189409
163,ResNet50v2_(2023-04-10)_0,ResNet50v2,9.962251091003418,0.310869562625885,0.11364636663857254
164,ResNet50v2_(2023-04-10)_0,ResNet50v2,18.202499389648438,0.07681159563362598,0.21544346900318845
165,ResNet50v2_(2023-04-10)_0,ResNet50v2,25.973344993591308,0.0,0.40842386526745217
166,ResNet50v2_(2023-04-10)_0,ResNet50v2,28.84558982849121,0.0,0.7742636826811278
167,ResNet50v2_(2023-04-10)_0,ResNet50v2,29.149764823913575,0.0,1.4677992676220706
168,ResNet50v2_(2023-04-10)_0,ResNet50v2,28.69514102935791,0.0,2.782559402207126
169,ResNet50v2_(2023-04-10)_0,ResNet50v2,27.970607566833497,0.0,5.27499706370262
170,ResNet50v2_(2023-04-10)_0,ResNet50v2,27.402513694763183,0.0,10.0
