,saved_model,model,loss,accuracy,brightness
69,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.232248330116272,0.7898550629615784,0.2999999999999997
70,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.3623395919799806,0.7753623127937317,0.3999999999999998
71,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.346819448471069,0.7463768124580383,0.49999999999999967
72,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.6275567531585695,0.7318840622901917,0.5999999999999995
73,MobileNet_aug100_(2023-05-17)_0,MobileNet,3.485536980628967,0.6231884360313416,0.6999999999999996
74,MobileNet_aug100_(2023-05-17)_0,MobileNet,6.16577033996582,0.43478262424468994,0.7999999999999997
75,MobileNet_aug100_(2023-05-17)_0,MobileNet,14.328046321868896,0.08695652335882187,0.8999999999999996
76,MobileNet_aug100_(2023-05-17)_1,MobileNet,8.77792501449585,0.19565217196941376,-0.9
77,MobileNet_aug100_(2023-05-17)_1,MobileNet,3.6772640705108643,0.4855072498321533,-0.8
78,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.8856935262680055,0.7028985619544983,-0.7000000000000001
79,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.7303860545158387,0.7246376872062683,-0.6000000000000001
80,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.7119580388069153,0.717391312122345,-0.5000000000000001
81,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.3914485096931457,0.7536231875419617,-0.40000000000000013
82,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.2726823925971984,0.8115942478179932,-0.30000000000000016
83,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.1690941214561463,0.8115942478179932,-0.20000000000000018
84,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.0769352793693543,0.8550724983215332,-0.1000000000000002
85,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.1054895639419555,0.8333333730697632,-2.220446049250313e-16
86,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.1610308527946471,0.8333333730697632,0.09999999999999976
87,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.2661123394966125,0.8260869979858398,0.19999999999999962
88,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.8329107403755187,0.7681159377098083,0.2999999999999997
89,MobileNet_aug100_(2023-05-17)_1,MobileNet,2.2290549755096434,0.7681159377098083,0.3999999999999998
90,MobileNet_aug100_(2023-05-17)_1,MobileNet,2.331789326667786,0.7028985619544983,0.49999999999999967
91,MobileNet_aug100_(2023-05-17)_1,MobileNet,2.5336352348327638,0.6594203114509583,0.5999999999999995
92,MobileNet_aug100_(2023-05-17)_1,MobileNet,3.3869171380996703,0.5362318754196167,0.6999999999999996
93,MobileNet_aug100_(2023-05-17)_1,MobileNet,6.977086019515991,0.239130437374115,0.7999999999999997
94,MobileNet_aug100_(2023-05-17)_1,MobileNet,20.649874877929687,0.007246376946568489,0.8999999999999996
95,MobileNet_aug100_(2023-05-20)_0,MobileNet,9.300583648681641,0.17391304671764374,-0.9
96,MobileNet_aug100_(2023-05-20)_0,MobileNet,5.74464898109436,0.37681159377098083,-0.8
97,MobileNet_aug100_(2023-05-20)_0,MobileNet,3.550006866455078,0.5652173757553101,-0.7000000000000001
98,MobileNet_aug100_(2023-05-20)_0,MobileNet,2.1743198156356813,0.6449275612831116,-0.6000000000000001
99,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.420536494255066,0.7681159377098083,-0.5000000000000001
100,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.0680065631866456,0.8188406229019165,-0.40000000000000013
101,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.9254773080348968,0.8333333730697632,-0.30000000000000016
102,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7876303017139434,0.8840579986572266,-0.20000000000000018
103,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7519331336021423,0.8985507488250732,-0.1000000000000002
104,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7545034527778626,0.9057971239089966,-2.220446049250313e-16
105,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7226934552192688,0.8913043737411499,0.09999999999999976
106,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7054438054561615,0.8768116235733032,0.19999999999999962
107,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.984102463722229,0.7971014380455017,0.2999999999999997
108,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.6083310127258301,0.7536231875419617,0.3999999999999998
109,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.8869625091552735,0.739130437374115,0.49999999999999967
110,MobileNet_aug100_(2023-05-20)_0,MobileNet,2.1459317445755004,0.7246376872062683,0.5999999999999995
111,MobileNet_aug100_(2023-05-20)_0,MobileNet,3.474285936355591,0.6231884360313416,0.6999999999999996
112,MobileNet_aug100_(2023-05-20)_0,MobileNet,6.817629337310791,0.3550724685192108,0.7999999999999997
113,MobileNet_aug100_(2023-05-20)_0,MobileNet,15.561392211914063,0.028985507786273956,0.8999999999999996
