,saved_model,model,loss,accuracy,gamma
87,MobileNet_aug20_(2023-05-18)_0,MobileNet,1.3153927803039551,0.7246376872062683,2.782559402207123
88,MobileNet_aug20_(2023-05-18)_0,MobileNet,2.016460156440735,0.6231884360313416,4.6415888336127775
89,MobileNet_aug20_(2023-05-18)_0,MobileNet,2.9328757762908935,0.5144927501678467,7.742636826811269
90,MobileNet_aug20_(2023-05-18)_0,MobileNet,4.258556461334228,0.34057971835136414,12.915496650148828
91,MobileNet_aug20_(2023-05-18)_0,MobileNet,6.325665378570557,0.21014493703842163,21.544346900318825
92,MobileNet_aug20_(2023-05-18)_0,MobileNet,8.373348712921143,0.12318840622901917,35.93813663804626
93,MobileNet_aug20_(2023-05-18)_0,MobileNet,10.098275279998779,0.05072464048862457,59.94842503189408
94,MobileNet_aug20_(2023-05-18)_0,MobileNet,11.554584217071532,0.043478261679410934,100.0
95,MobileNet_aug20_(2023-05-19)_0,MobileNet,23.84444065093994,0.021739130839705467,0.01
96,MobileNet_aug20_(2023-05-19)_0,MobileNet,22.728383827209473,0.028985507786273956,0.01668100537200059
97,MobileNet_aug20_(2023-05-19)_0,MobileNet,18.778118133544922,0.036231882870197296,0.027825594022071246
98,MobileNet_aug20_(2023-05-19)_0,MobileNet,10.579476356506348,0.21014493703842163,0.04641588833612778
99,MobileNet_aug20_(2023-05-19)_0,MobileNet,5.425108623504639,0.43478262424468994,0.0774263682681127
100,MobileNet_aug20_(2023-05-19)_0,MobileNet,2.8966272592544557,0.6449275612831116,0.12915496650148842
101,MobileNet_aug20_(2023-05-19)_0,MobileNet,1.5427077412605286,0.760869562625885,0.2154434690031883
102,MobileNet_aug20_(2023-05-19)_0,MobileNet,1.1961244463920593,0.7971014380455017,0.3593813663804626
103,MobileNet_aug20_(2023-05-19)_0,MobileNet,1.1716593384742737,0.8115942478179932,0.5994842503189409
104,MobileNet_aug20_(2023-05-19)_0,MobileNet,1.066784131526947,0.8260869979858398,1.0
105,MobileNet_aug20_(2023-05-19)_0,MobileNet,0.9499773621559143,0.804347813129425,1.6681005372000592
106,MobileNet_aug20_(2023-05-19)_0,MobileNet,0.9366495847702027,0.7898550629615784,2.782559402207123
107,MobileNet_aug20_(2023-05-19)_0,MobileNet,1.3059448719024658,0.739130437374115,4.6415888336127775
108,MobileNet_aug20_(2023-05-19)_0,MobileNet,2.232569360733032,0.5869565606117249,7.742636826811269
109,MobileNet_aug20_(2023-05-19)_0,MobileNet,3.9726747035980225,0.3695652186870575,12.915496650148828
110,MobileNet_aug20_(2023-05-19)_0,MobileNet,6.379538249969483,0.21739131212234497,21.544346900318825
111,MobileNet_aug20_(2023-05-19)_0,MobileNet,8.689975166320801,0.1304347813129425,35.93813663804626
112,MobileNet_aug20_(2023-05-19)_0,MobileNet,10.153793430328369,0.10144928097724915,59.94842503189408
113,MobileNet_aug20_(2023-05-19)_0,MobileNet,11.092601013183593,0.07971014827489853,100.0
